id,session,datetime,value
1,1,2025-09-12 09:40:37.563772,t
2,1,2025-09-12 09:40:40.074995,f
3,1,2025-09-12 09:40:45.351298,t
4,1,2025-09-12 09:41:07.227419,f
5,1,2025-09-12 09:41:14.849843,t
6,1,2025-09-12 09:41:18.116129,f
7,1,2025-09-12 09:41:25.058936,t
8,1,2025-09-12 09:41:47.739111,f
9,1,2025-09-12 09:41:54.449162,t
10,1,2025-09-12 09:42:09.090887,f
11,1,2025-09-12 09:42:12.658323,t
12,1,2025-09-12 09:42:14.392845,f
13,1,2025-09-12 09:42:20.321479,t
14,1,2025-09-12 09:48:07.236555,t
15,1,2025-09-12 09:49:28.213921,t
16,1,2025-09-12 09:49:46.496991,f
17,1,2025-09-12 09:50:16.671538,t
18,1,2025-09-12 09:50:20.703945,f
19,1,2025-09-12 09:50:28.063457,t
20,1,2025-09-12 09:50:29.043499,f
21,1,2025-09-12 09:51:00.078085,t
22,1,2025-09-12 09:51:02.393977,f
23,1,2025-09-12 09:51:22.718876,t
24,1,2025-09-12 09:51:31.750867,f
25,1,2025-09-12 09:51:38.962763,t
26,1,2025-09-12 09:51:49.876184,f
27,1,2025-09-12 09:51:57.407388,t
28,1,2025-09-12 09:52:00.885934,f
29,1,2025-09-12 09:52:09.367811,t
30,1,2025-09-12 09:52:12.695558,f
31,1,2025-09-12 09:52:27.561378,t
32,1,2025-09-12 09:52:39.507387,f
33,1,2025-09-12 09:52:50.137248,t
34,1,2025-09-12 09:52:51.771941,f
35,1,2025-09-12 09:53:00.566524,t
36,1,2025-09-12 09:53:37.895996,f
37,1,2025-09-12 09:53:44.207687,t
38,1,2025-09-12 09:53:47.444102,f
39,1,2025-09-12 09:53:51.3451,t
40,1,2025-09-12 09:53:57.399691,f
41,1,2025-09-12 09:54:05.511331,t
42,1,2025-09-12 09:54:06.829067,f
43,1,2025-09-12 09:54:14.247826,t
44,1,2025-09-12 09:54:17.44378,f
45,1,2025-09-12 09:54:27.973006,t
46,1,2025-09-12 09:54:29.628166,f
47,1,2025-09-12 09:54:37.832233,t
48,1,2025-09-12 09:54:39.961396,f
49,1,2025-09-12 09:54:47.439318,t
50,1,2025-09-12 09:54:54.579253,f
51,1,2025-09-12 09:55:01.875258,t
52,1,2025-09-12 09:55:02.871663,f
53,2,2025-09-12 09:56:53.957444,t
54,2,2025-09-12 09:57:00.709808,f
55,2,2025-09-12 09:57:08.82734,t
56,2,2025-09-12 09:57:11.552951,f
57,2,2025-09-12 09:57:19.807864,t
58,2,2025-09-12 09:57:33.054012,f
59,2,2025-09-12 09:57:37.954187,t
60,2,2025-09-12 09:57:41.598746,f
61,2,2025-09-12 09:57:49.900354,t
62,2,2025-09-12 09:57:52.662521,f
63,2,2025-09-12 09:57:55.806952,t
64,2,2025-09-12 09:57:56.822968,f
65,2,2025-09-12 09:57:59.610483,t
66,2,2025-09-12 09:58:13.048301,f
67,2,2025-09-12 09:58:18.827347,t
68,2,2025-09-12 09:58:23.130532,f
69,2,2025-09-12 09:58:30.343549,t
70,2,2025-09-12 09:58:43.455392,f
71,2,2025-09-12 09:58:48.767062,t
72,2,2025-09-12 09:58:57.054784,f
73,2,2025-09-12 09:59:04.297901,t
74,2,2025-09-12 09:59:10.075826,f
75,2,2025-09-12 09:59:18.266902,t
76,2,2025-09-12 09:59:21.31533,f
77,2,2025-09-12 09:59:28.546417,t
78,2,2025-09-12 09:59:39.228938,f
79,2,2025-09-12 09:59:48.092653,t
80,2,2025-09-12 09:59:51.145441,f
81,2,2025-09-12 09:59:58.370728,t
82,2,2025-09-12 10:00:01.643595,f
83,2,2025-09-12 10:00:07.532921,t
84,2,2025-09-12 10:00:09.338991,f
85,2,2025-09-12 10:00:15.850077,t
86,2,2025-09-12 10:00:17.75551,f
87,2,2025-09-12 10:00:27.02321,t
88,2,2025-09-12 10:00:30.283208,f
89,2,2025-09-12 10:00:37.522403,t
90,2,2025-09-12 10:00:43.766995,f
91,2,2025-09-12 10:00:51.010843,t
92,2,2025-09-12 10:00:53.810383,f
93,2,2025-09-12 10:01:01.373115,t
94,2,2025-09-12 10:01:08.263116,f
95,2,2025-09-12 10:01:18.630909,t
96,2,2025-09-12 10:01:20.773234,f
97,2,2025-09-12 10:01:27.361444,t
98,2,2025-09-12 10:01:32.324568,f
99,2,2025-09-12 10:01:49.386747,t
100,2,2025-09-12 10:01:57.902852,f
101,2,2025-09-12 10:02:06.791377,t
102,2,2025-09-12 10:02:50.042784,f
103,3,2025-09-16 14:27:02.497916,t
104,3,2025-09-16 14:28:30.861957,f
105,3,2025-09-16 14:28:35.121326,t
106,3,2025-09-16 14:28:49.644678,f
107,3,2025-09-16 14:28:57.808819,t
108,3,2025-09-16 14:29:00.156524,f
109,3,2025-09-16 14:29:07.361626,t
110,3,2025-09-16 14:29:09.857947,f
111,3,2025-09-16 14:29:17.101084,t
112,4,2025-09-17 10:06:52.773018,t
113,4,2025-09-17 10:06:59.780864,f
114,4,2025-09-17 10:07:21.990115,t
115,4,2025-09-17 10:07:40.197412,f
116,4,2025-09-17 10:07:41.178489,t
117,4,2025-09-17 10:07:42.761893,f
118,4,2025-09-17 10:07:55.009374,t
119,4,2025-09-17 10:08:03.389693,f
120,4,2025-09-17 10:08:10.645199,t
121,4,2025-09-17 10:08:19.169188,f
122,4,2025-09-17 10:08:29.639282,t
123,4,2025-09-17 10:08:31.214091,f
124,4,2025-09-17 10:08:46.264925,t
125,4,2025-09-17 10:09:00.053696,f
126,4,2025-09-17 10:09:14.210031,t
127,4,2025-09-17 10:09:17.674235,f
128,4,2025-09-17 10:09:33.561692,t
129,4,2025-09-17 10:09:35.637778,f
130,4,2025-09-17 10:09:45.762754,t
131,4,2025-09-17 10:10:07.945844,f
132,4,2025-09-17 10:10:18.266369,t
133,4,2025-09-17 10:10:23.314514,f
134,5,2025-09-17 10:26:49.426295,t
135,6,2025-09-17 12:00:45.948874,t
136,6,2025-09-17 12:00:49.665121,f
137,6,2025-09-17 12:00:56.774886,t
138,6,2025-09-17 12:10:23.546913,t
139,6,2025-09-17 12:14:25.438185,f
140,6,2025-09-17 12:14:33.884533,t
141,7,2025-09-17 13:16:47.247421,t
142,7,2025-09-17 13:17:43.649563,f
143,7,2025-09-17 13:18:04.960794,t
144,10,2025-09-17 13:32:32.80431,t
145,10,2025-09-17 13:32:59.996638,f
146,10,2025-09-17 13:33:11.969995,t
147,11,2025-09-17 13:50:31.50263,t
148,12,2025-09-17 14:19:27.790227,f
149,12,2025-09-17 14:19:35.983791,t
150,12,2025-09-17 14:19:51.245592,f
151,12,2025-09-17 14:20:01.759413,t
152,12,2025-09-17 14:20:05.554168,f
153,12,2025-09-17 14:20:15.696067,t
154,12,2025-09-17 14:20:21.256728,f
155,12,2025-09-17 14:20:30.500728,t
