id,session,datetime,status
1,1,2025-09-12 09:49:24.258032,t
2,1,2025-09-12 09:55:07.944407,f
3,2,2025-09-12 09:56:53.596515,t
4,2,2025-09-12 10:04:20.099053,f
5,3,2025-09-16 14:27:01.25368,t
6,3,2025-09-16 14:29:17.39392,f
7,4,2025-09-17 10:06:42.217027,t
8,4,2025-09-17 10:10:29.662681,f
9,5,2025-09-17 10:26:32.403488,t
10,5,2025-09-17 10:26:48.829924,f
11,6,2025-09-17 12:10:22.298719,t
12,6,2025-09-17 12:14:48.893768,f
13,7,2025-09-17 13:16:46.265918,t
14,7,2025-09-17 13:26:31.640077,f
15,8,2025-09-17 13:30:26.186323,t
16,8,2025-09-17 13:30:55.914523,f
17,9,2025-09-17 13:31:10.184044,t
18,9,2025-09-17 13:31:44.849311,f
19,10,2025-09-17 13:32:31.223239,t
20,10,2025-09-17 13:37:40.64232,f
21,11,2025-09-17 13:50:30.235193,t
22,11,2025-09-17 13:59:53.677024,f
23,12,2025-09-17 14:17:56.201068,t
24,12,2025-09-17 14:30:55.703797,f
25,13,2025-09-17 14:31:27.279127,t
26,13,2025-09-17 14:46:45.185535,f
27,14,2025-09-17 14:47:20.222917,t
28,14,2025-09-17 14:54:28.418748,f
29,15,2025-09-17 14:56:09.215846,t
30,15,2025-09-17 15:06:20.054197,f
31,16,2025-09-17 15:07:17.224323,t
32,16,2025-09-17 15:20:34.13987,f
33,17,2025-09-17 15:22:09.224284,t
34,17,2025-09-17 15:34:51.607294,f
35,18,2025-09-17 15:35:54.201064,t
36,18,2025-09-17 16:09:39.080857,f
37,19,2025-09-17 16:13:44.191704,t
38,19,2025-09-17 16:33:32.543289,f
39,20,2025-09-17 16:33:50.224842,t
40,20,2025-09-17 16:55:12.480588,f
41,21,2025-09-17 16:57:56.275951,t
42,21,2025-09-17 17:12:44.524185,f
43,22,2025-09-17 17:13:07.199582,t
44,22,2025-09-17 17:23:09.838273,f
45,23,2025-09-22 14:55:08.958504,t
46,23,2025-09-22 14:56:16.226411,f
47,24,2025-09-22 14:56:26.806873,t
48,24,2025-09-22 14:56:47.858675,f
49,25,2025-09-22 19:05:50.235573,t
50,25,2025-09-22 19:07:04.833616,f
51,26,2025-09-22 19:11:04.259694,t
52,26,2025-09-22 19:13:25.867774,f
53,27,2025-09-22 19:33:05.227702,t
54,27,2025-09-22 19:55:57.608139,f
55,28,2025-09-27 21:11:24.300309,t
56,28,2025-09-27 21:20:55.022493,f
57,29,2025-09-27 21:24:57.222186,t
58,29,2025-09-27 21:36:06.815113,f
59,30,2025-09-28 20:25:56.194489,t
60,30,2025-09-28 20:31:03.94063,f
61,31,2025-09-28 20:31:45.236978,t
62,31,2025-09-28 20:41:10.393929,f
63,32,2025-10-01 19:00:27.258373,t
64,32,2025-10-01 19:00:52.104185,f
65,33,2025-10-01 19:13:03.343816,t
66,33,2025-10-01 19:13:29.171663,f
67,34,2025-10-01 19:18:02.28711,t
68,34,2025-10-01 19:28:21.075911,f
69,35,2025-10-01 19:40:51.282853,t
70,35,2025-10-01 19:51:45.23351,f
71,36,2025-10-03 23:55:25.206582,t
72,36,2025-10-04 00:21:36.485589,f
73,37,2025-10-06 14:18:46.731737,t
74,37,2025-10-06 14:19:43.950323,f
75,38,2025-10-06 14:21:46.779636,t
76,38,2025-10-06 14:22:37.557012,f
77,39,2025-09-23 12:06:29.975252,t
78,39,2025-09-23 12:06:41.30877,f
