id,session,datetime,value
1,6,2025-09-17 12:10:53.185698,26.27
2,6,2025-09-17 12:11:23.199409,26.48
3,6,2025-09-17 12:11:54.44353,28.78
4,6,2025-09-17 12:12:54.172326,29.91
5,6,2025-09-17 12:12:56.721254,29.14
6,6,2025-09-17 12:13:26.7477,28.16
7,6,2025-09-17 12:13:56.715738,27.81
8,6,2025-09-17 12:14:27.757577,29.03
9,7,2025-09-17 13:17:17.113345,150.25
10,7,2025-09-17 13:17:47.66985,144.24
11,7,2025-09-17 13:18:18.238561,138.70
12,7,2025-09-17 13:18:48.741683,133.21
13,7,2025-09-17 13:19:19.282859,128.15
14,7,2025-09-17 13:19:49.813077,123.55
15,7,2025-09-17 13:20:20.349128,119.21
16,7,2025-09-17 13:20:50.902604,115.12
17,7,2025-09-17 13:21:21.45586,111.59
18,7,2025-09-17 13:21:52.000718,107.93
19,7,2025-09-17 13:22:22.531522,106.62
20,7,2025-09-17 13:22:53.074089,103.99
21,7,2025-09-17 13:23:23.624782,100.31
22,7,2025-09-17 13:23:54.697828,93.82
23,7,2025-09-17 13:24:25.481812,85.57
24,7,2025-09-17 13:24:55.27389,88.34
25,7,2025-09-17 13:25:25.81761,89.90
26,7,2025-09-17 13:25:56.365688,92.33
27,7,2025-09-17 13:26:26.902837,92.74
28,9,2025-09-17 13:31:41.212425,269.79
29,10,2025-09-17 13:33:01.842216,232.39
30,10,2025-09-17 13:33:32.418219,221.20
31,10,2025-09-17 13:34:02.970944,209.19
32,10,2025-09-17 13:34:33.553877,199.75
33,10,2025-09-17 13:35:04.137613,191.05
34,10,2025-09-17 13:35:34.702412,183.00
35,10,2025-09-17 13:36:05.289258,175.73
36,10,2025-09-17 13:36:35.855374,168.54
37,10,2025-09-17 13:37:06.399523,161.76
38,10,2025-09-17 13:37:36.978854,155.56
39,11,2025-09-17 13:51:01.095583,71.26
40,11,2025-09-17 13:51:31.659211,101.62
41,11,2025-09-17 13:52:03.215741,142.94
42,11,2025-09-17 13:52:32.78684,109.62
43,11,2025-09-17 13:53:03.372192,136.10
44,11,2025-09-17 13:53:33.946073,153.92
45,11,2025-09-17 13:54:04.527587,167.53
46,11,2025-09-17 13:54:35.126288,120.49
47,11,2025-09-17 13:55:05.744064,124.53
48,11,2025-09-17 13:55:36.346013,111.18
49,11,2025-09-17 13:56:06.970717,112.07
50,11,2025-09-17 13:56:37.567943,119.01
51,11,2025-09-17 13:57:08.165928,141.39
52,11,2025-09-17 13:57:38.763098,142.85
